hp_min,hp_max,model_year_min,model_year_max,standard,nox_ef,nox_dr,rog_ef,rog_dr,pm_ef,pm_dr,engine_type,ref,ref_note
25,49,,1987,,6.51,0.000098,1.68,0.00021,0.547,0.0000424,ci,2017cmp,d-8
25,49,1988,,,6.42,0.000097,1.64,0.00021,0.547,0.0000424,ci,2017cmp,d-8
50,119,,1987,,12.09,0.00028,1.31,0.000061,0.605,0.000044,ci,2017cmp,d-8
50,119,1988,,,8.14,0.00019,0.9,0.000042,0.497,0.0000361,ci,2017cmp,d-8
120,,,1969,,13.02,0.0003,1.2,0.000056,0.554,0.0000403,ci,2017cmp,d-8
120,,1970,1979,,11.16,0.00026,0.91,0.000042,0.396,0.0000288,ci,2017cmp,d-8
120,,1980,1987,,10.23,0.00024,0.8,0.000037,0.396,0.0000288,ci,2017cmp,d-8
120,,1988,,,7.6,0.00018,0.62,0.000029,0.274,0.0000199,ci,2017cmp,d-8
25,49,,,t1,5.26,0.000098,1.32,0.00017,0.48,0.0000372,ci,2017cmp,d-9
25,49,,,t2,4.63,0.000093,0.22,0.00005,0.28,0.0000218,ci,2017cmp,d-9
25,49,,,t4i,4.55,0.000095,0.09,0.000036,0.128,0.0000096,ci,2017cmp,d-9
25,49,,,t4f,2.75,0.000057,0.09,0.000036,0.009,0.000001,ci,2017cmp,d-9
50,74,,,t1,6.54,0.00015,0.9,0.000042,0.552,0.0000402,ci,2017cmp,d-9
50,74,,,t2,4.75,0.000071,0.17,0.000025,0.192,0.0000141,ci,2017cmp,d-9
50,74,,,t3,2.74,0.000036,0.09,0.000023,0.192,0.0000141,ci,2017cmp,d-9
50,74,,,t4i,2.74,0.000036,0.09,0.000023,0.112,0.000008,ci,2017cmp,d-9
50,74,,,t4f,2.74,0.000036,0.09,0.000023,0.009,0.0000009,ci,2017cmp,d-9
75,99,,,t1,6.54,0.00015,0.9,0.000042,0.552,0.0000402,ci,2017cmp,d-9
75,99,,,t2,4.75,0.000071,0.17,0.000025,0.192,0.0000141,ci,2017cmp,d-9
75,99,,,t3,2.74,0.000036,0.09,0.000023,0.112,0.000008,ci,2017cmp,d-9
75,99,,,t4po,2.74,0.000036,0.09,0.00003,0.009,0.0000009,ci,2017cmp,d-9
75,99,,,t4pian,2.15,0.000027,0.08,0.000021,0.009,0.0000009,ci,2017cmp,d-9
75,99,,,t4f,0.26,0.0000035,0.05,0.000015,0.009,0.0000009,ci,2017cmp,d-9
100,174,,,t1,6.54,0.00015,0.62,0.000029,0.304,0.0000221,ci,2017cmp,d-9
100,174,,,t2,4.15,0.00006,0.15,0.000023,0.128,0.0000094,ci,2017cmp,d-9
100,174,,,t3,2.32,0.00003,0.09,0.00003,0.112,0.000008,ci,2017cmp,d-9
100,174,,,t4po,2.32,0.00003,0.09,0.00003,0.009,0.0000004,ci,2017cmp,d-9
100,174,,,t4pian,2.15,0.000027,0.08,0.00002,0.009,0.0000004,ci,2017cmp,d-9
100,174,,,t4f,0.26,0.000004,0.05,0.000011,0.009,0.0000004,ci,2017cmp,d-9
175,299,,,t1,5.93,0.00014,0.29,0.000013,0.12,0.0000064,ci,2017cmp,d-9
175,299,,,t2,4.15,0.00006,0.11,0.000022,0.088,0.0000046,ci,2017cmp,d-9
175,299,,,t3,2.32,0.00003,0.09,0.000023,0.088,0.0000046,ci,2017cmp,d-9
175,299,,,t4po,2.32,0.00003,0.09,0.000023,0.009,0.0000003,ci,2017cmp,d-9
175,299,,,t4pian,1.29,0.000017,0.06,0.000017,0.009,0.0000003,ci,2017cmp,d-9
175,299,,,t4f,0.26,0.0000036,0.05,0.000011,0.009,0.0000003,ci,2017cmp,d-9
300,750,,,t1,5.93,0.000099,0.29,0.00001,0.12,0.0000064,ci,2017cmp,d-9
300,750,,,t2,3.79,0.00005,0.09,0.000023,0.088,0.0000044,ci,2017cmp,d-9
300,750,,,t3,2.32,0.00003,0.09,0.000023,0.088,0.0000044,ci,2017cmp,d-9
300,750,,,t4po,2.32,0.00003,0.09,0.000023,0.009,0.0000003,ci,2017cmp,d-9
300,750,,,t4pian,1.29,0.000017,0.06,0.000017,0.009,0.0000003,ci,2017cmp,d-9
300,750,,,t4f,0.26,0.0000036,0.05,0.000011,0.009,0.0000003,ci,2017cmp,d-9
751,,,,t1,5.93,0.000099,0.29,0.00001,0.12,0.0000064,ci,2017cmp,d-9
751,,,,t2,3.79,0.00005,0.09,0.000023,0.088,0.0000044,ci,2017cmp,d-9
751,,,,t4i,2.24,0.000028,0.06,0.000017,0.051,0.0000021,ci,2017cmp,d-9
751,,,,t4f,2.24,0.000028,0.05,0.000011,0.017,0.0000009,ci,2017cmp,d-9
25,50,,2003,uc,8.01,0.0000406,3.76,0.000412,0.06,0,lsi-g,2017cmp,d-11a
25,50,2001,2006,c,1.33,0.000471,0.71,0.000169,0.06,0,lsi-g,2017cmp,d-11a
25,50,2007,2009,c,0.89,0.0001192,0.473,0.000064,0.06,0,lsi-g,2017cmp,d-11a
25,50,2010,,c,0.27,0.000025,0.142,0.000013,0.06,0,lsi-g,2017cmp,d-11a
51,120,,2003,uc,11.84,0.0000601,2.63,0.000287,0.06,0,lsi-g,2017cmp,d-11a
51,120,2001,2006,c,1.78,0.000207,0.26,0.000081,0.06,0,lsi-g,2017cmp,d-11a
51,120,2007,2009,c,1.17,0.000066,0.13,0.000074,0.06,0,lsi-g,2017cmp,d-11a
51,120,2010,,c,0.35,0.00003,0.03,0.000014,0.06,0,lsi-g,2017cmp,d-11a
121,,,2003,uc,12.94,0.000127,1.61,0.000042,0.06,0,lsi-g,2017cmp,d-11a
121,,2001,2006,c,1.94,0.000278,0.16,0.000102,0.06,0,lsi-g,2017cmp,d-11a
121,,2007,2009,c,1.17,0.000066,0.13,0.000074,0.06,0,lsi-g,2017cmp,d-11a
121,,2010,,c,0.35,0.00003,0.03,0.000014,0.06,0,lsi-g,2017cmp,d-11a
25,50,,2003,uc,13,0.0000662,1.38,0.000151,0.06,0,lsi-a,2017cmp,d-11b
25,50,2001,2006,c,1.95,0.000276,0.14,0.000106,0.06,0,lsi-a,2017cmp,d-11b
25,50,2007,2009,c,1.3,0.0000011,0.093,0.000172,0.06,0,lsi-a,2017cmp,d-11b
25,50,2010,,c,0.39,0.0000002,0.028,0.000036,0.06,0,lsi-a,2017cmp,d-11b
51,120,,2003,uc,10.53,0.0000533,1.55,0.000169,0.06,0,lsi-a,2017cmp,d-11b
51,120,2001,2006,c,1.58,0.00035,0.16,0.0000103,0.06,0,lsi-a,2017cmp,d-11b
51,120,2007,2009,c,1.04,0.0000125,0.1,0.000047,0.06,0,lsi-a,2017cmp,d-11b
51,120,2010,,c,0.31,0.000038,0.03,0.000014,0.06,0,lsi-a,2017cmp,d-11b
121,,,2003,uc,10.51,0.000104,1.38,0.000035,0.06,0,lsi-a,2017cmp,d-11b
121,,2001,2006,c,1.58,0.000264,0.14,0.000106,0.06,0,lsi-a,2017cmp,d-11b
121,,2007,2009,c,1.04,0.0000125,0.1,0.000047,0.06,0,lsi-a,2017cmp,d-11b
121,,2010,,c,0.31,0.000038,0.03,0.000014,0.06,0,lsi-a,2017cmp,d-11b
25,50,,,0.4,0.18,0.000017,0.09,0.0000087,0.06,0,lsi-g,2017cmp,d-13a
25,50,,,0.2,0.09,0.000008,0.05,0.0000043,0.06,0,lsi-g,2017cmp,d-13a
25,50,,,0.1,0.04,0.000005,0.02,0.0000027,0.06,0,lsi-g,2017cmp,d-13a
51,120,,,0.4,0.24,0.000021,0.04,0.0000034,0.06,0,lsi-g,2017cmp,d-13a
51,120,,,0.2,0.12,0.00001,0.02,0.0000017,0.06,0,lsi-g,2017cmp,d-13a
51,120,,,0.1,0.06,0.000005,0.01,0.0000009,0.06,0,lsi-g,2017cmp,d-13a
121,,,,0.4,0.26,0.000022,0.02,0.0000017,0.06,0,lsi-g,2017cmp,d-13a
121,,,,0.2,0.13,0.000011,0.01,0.0000009,0.06,0,lsi-g,2017cmp,d-13a
121,,,,0.1,0.06,0.000005,0.01,0.0000009,0.06,0,lsi-g,2017cmp,d-13a
25,50,,,0.4,0.26,0.000022,0.02,0.0000017,0.06,0,lsi-a,2017cmp,d-13b
25,50,,,0.2,0.13,0.000011,0.01,0.0000009,0.06,0,lsi-a,2017cmp,d-13b
25,50,,,0.1,0.07,0.000006,0,0,0.06,0,lsi-a,2017cmp,d-13b
51,120,,,0.4,0.21,0.000031,0.02,0.000003,0.06,0,lsi-a,2017cmp,d-13b
51,120,,,0.2,0.11,0.000015,0.01,0.0000013,0.06,0,lsi-a,2017cmp,d-13b
51,120,,,0.1,0.05,0.000007,0.01,0.0000013,0.06,0,lsi-a,2017cmp,d-13b
121,,,,0.4,0.21,0.000034,0.01,0.0000016,0.06,0,lsi-a,2017cmp,d-13b
121,,,,0.2,0.11,0.000015,0.01,0.0000013,0.06,0,lsi-a,2017cmp,d-13b
121,,,,0.1,0.05,0.00001,0,0,0.06,0,lsi-a,2017cmp,d-13b
0,,,,ze,0,0,0,0,0,0,ze,2017cmp,d
